Asset,Type,Timeframe,Signal,Entry Time,PnL,Exit Reason
SI=F,trad,4h,LONG,2025-11-26 16:00:00,0.3210103032686189,Kijun SL
EURUSD=X,trad,4h,SHORT,2025-11-19 20:00:00,-0.004939830669700788,Kijun SL
EURUSD=X,trad,4h,LONG,2025-11-28 12:00:00,0.007547998438930102,Kijun SL
EURUSD=X,trad,1d,LONG,2025-08-28 23:00:00,-0.005245651406548252,Kijun SL
EURUSD=X,trad,1d,LONG,2025-12-16 00:00:00,-0.001,Open
GBPUSD=X,trad,4h,SHORT,2025-10-24 08:00:00,0.008750636980336929,Kijun SL
GBPUSD=X,trad,4h,SHORT,2025-11-19 16:00:00,-0.01105341932769523,Kijun SL
GBPUSD=X,trad,4h,LONG,2025-11-26 12:00:00,0.006207020450175146,Kijun SL
GBPUSD=X,trad,1d,LONG,2025-09-14 23:00:00,-0.00754385216523243,Kijun SL
GC=F,trad,4h,SHORT,2025-10-24 08:00:00,0.014065302044644738,Kijun SL
GC=F,trad,4h,LONG,2025-11-27 04:00:00,0.037348410082919205,Kijun SL
AUDUSD=X,trad,4h,SHORT,2025-11-04 08:00:00,-0.007278584718983285,Kijun SL
AUDUSD=X,trad,4h,LONG,2025-11-13 00:00:00,-0.00835813162952604,Kijun SL
AUDUSD=X,trad,4h,SHORT,2025-11-18 16:00:00,0.0012762946597326273,Kijun SL
AUDUSD=X,trad,4h,LONG,2025-11-27 16:00:00,0.013714682489930245,Kijun SL
AUDUSD=X,trad,4h,LONG,2025-12-23 08:00:00,-0.001,Open
AUDUSD=X,trad,1d,LONG,2025-09-17 23:00:00,-0.018314776528541906,Kijun SL
AUDUSD=X,trad,1d,LONG,2025-12-19 00:00:00,-0.001,Open
^NDX,trad,4h,LONG,2025-12-03 12:00:00,-0.027873994309778417,Kijun SL
^NDX,trad,4h,LONG,2025-12-29 20:00:00,-0.014142517487792841,Kijun SL
^NDX,trad,1d,LONG,2025-12-22 05:00:00,-0.001,Open
^GSPC,trad,4h,LONG,2025-12-03 12:00:00,-0.001,Open
^GSPC,trad,4h,LONG,2025-12-29 20:00:00,-0.001,Open
^GSPC,trad,1d,LONG,2025-12-22 05:00:00,-0.001,Open
DX-Y.NYB,trad,4h,LONG,2025-11-19 16:00:00,-0.00662712394927201,Kijun SL
DX-Y.NYB,trad,4h,SHORT,2025-12-01 08:00:00,0.005288299491248131,Kijun SL
DX-Y.NYB,trad,1d,SHORT,2025-12-24 05:00:00,-0.001,Open
CL=F,trad,4h,LONG,2025-10-23 20:00:00,-0.01948547792275582,Kijun SL
CL=F,trad,4h,LONG,2025-11-11 20:00:00,-0.03525668267639068,Kijun SL
CL=F,trad,4h,SHORT,2025-11-12 12:00:00,-0.02374270526529239,Kijun SL
CL=F,trad,4h,SHORT,2025-11-21 00:00:00,-0.01819690410592617,Kijun SL
CL=F,trad,4h,SHORT,2025-12-10 16:00:00,0.01635869081351927,Kijun SL
CL=F,trad,4h,LONG,2025-12-23 16:00:00,-0.030421782978828367,Kijun SL
BTC/USDT,crypto,4h,LONG,2025-12-02 16:00:00,-0.026709525712780482,Kijun SL
BTC/USDT,crypto,4h,SHORT,2025-12-18 16:00:00,-0.040959568844655556,Kijun SL
BTC/USDT,crypto,4h,SHORT,2025-12-23 16:00:00,-0.016210797168674178,Kijun SL
BTC/USDT,crypto,4h,LONG,2025-12-29 00:00:00,-0.026110259494438022,Kijun SL
BTC/USDT,crypto,1d,LONG,2025-10-02 00:00:00,-0.06213144770880661,Kijun SL
BTC/USDT,crypto,1d,SHORT,2025-11-04 00:00:00,0.07766927273695748,Kijun SL
BTC/USDT,crypto,1d,SHORT,2025-12-18 00:00:00,-0.042879601406799556,Kijun SL
ETH/USDT,crypto,4h,SHORT,2025-12-16 12:00:00,0.01793642435356074,Kijun SL
ETH/USDT,crypto,4h,LONG,2025-12-31 12:00:00,-0.007680194479045376,Kijun SL
ETH/USDT,crypto,1d,LONG,2025-08-10 00:00:00,0.024013103556881205,Kijun SL
ETH/USDT,crypto,1d,SHORT,2025-12-17 00:00:00,-0.10339675255912466,Kijun SL
DOGE/USDT,crypto,1d,LONG,2025-09-08 00:00:00,-0.005258662035888544,Kijun SL
DOGE/USDT,crypto,1d,SHORT,2025-10-13 00:00:00,0.14699193964103283,Kijun SL
LINK/USDT,crypto,4h,LONG,2025-12-02 20:00:00,0.009339734121122642,Kijun SL
LINK/USDT,crypto,4h,SHORT,2025-12-23 16:00:00,-0.0026181229773463875,Kijun SL
LINK/USDT,crypto,4h,LONG,2025-12-27 20:00:00,-0.007374501992031878,Kijun SL
LINK/USDT,crypto,4h,LONG,2026-01-02 08:00:00,-0.001,Open
LINK/USDT,crypto,1d,LONG,2025-08-10 00:00:00,0.05867450271247741,Kijun SL
LINK/USDT,crypto,1d,SHORT,2025-10-14 00:00:00,0.23266440146366957,Kijun SL
LINK/USDT,crypto,1d,SHORT,2025-12-17 00:00:00,-0.08596732026143784,Kijun SL
SOL/USDT,crypto,4h,LONG,2025-12-02 16:00:00,-0.039294230906367945,Kijun SL
SOL/USDT,crypto,4h,SHORT,2025-12-16 16:00:00,0.011825525924767346,Kijun SL
SOL/USDT,crypto,4h,SHORT,2025-12-17 16:00:00,-0.032459388789017884,Kijun SL
SOL/USDT,crypto,4h,SHORT,2025-12-23 16:00:00,-0.0015656565656565107,Kijun SL
SOL/USDT,crypto,1d,SHORT,2025-10-10 00:00:00,-0.10600371037845861,Kijun SL
SOL/USDT,crypto,1d,SHORT,2025-10-13 00:00:00,0.3028806542907852,Kijun SL
SOL/USDT,crypto,1d,SHORT,2025-12-15 00:00:00,-0.03695488015039953,Kijun SL
